image_path,caption
coco_pairs\images\COCO_train2014_000000025470.jpg,"A kitchen with brown cabinets, tile backsplash, and grey counters."
coco_pairs\images\COCO_train2014_000000513461.jpg,"A surfer, a woman, and a child walk on the beach."
coco_pairs\images\COCO_train2014_000000285579.jpg,"A person, protected from the rain by their umbrella, walks down the road."
coco_pairs\images\COCO_train2014_000000226658.jpg,"Two women preparing food in a kitchen, one at the sink and one at the table"
coco_pairs\images\COCO_train2014_000000314265.jpg,"A toilet, sink, bathtub with shower, mirror and cabinet"
coco_pairs\images\COCO_train2014_000000299675.jpg,"A kitchen with a tile floor has cabinets with no doors, a dishwasher, a sink, and a refrigerator."
coco_pairs\images\COCO_train2014_000000266366.jpg,"A clean, mediocre motel bathroom with a nice sink."
coco_pairs\images\COCO_train2014_000000101891.jpg,"Bicycles, cars and a trash can in a garage."
coco_pairs\images\COCO_train2014_000000503598.jpg,"A kitchen sink, counter, pots, and a dog dish."
coco_pairs\images\COCO_train2014_000000330238.jpg,"Many skiiers are gathered at the base of a hill, while several travel down it."
coco_pairs\images\COCO_train2014_000000543882.jpg,"A buffet table at a restaurant, covered with food."
coco_pairs\images\COCO_train2014_000000279939.jpg,"A bathroom contains a toilet, sink, and bathtub."
coco_pairs\images\COCO_train2014_000000002448.jpg,"A kitchen counter with chairs, refrigerator, and cupboards."
coco_pairs\images\COCO_train2014_000000253464.jpg,"A mid sized bathroom with toilette, shower and vanity mirror above a sink."
coco_pairs\images\COCO_train2014_000000480545.jpg,"A small bathroom containing a step, toilette and sink."
coco_pairs\images\COCO_train2014_000000376047.jpg,"A picture of some appliances stove, dishwasher, refridgerator and microwave, in a kitchen."
coco_pairs\images\COCO_train2014_000000520049.jpg,"A man on an old-fashioned bicycle, biking across a bridge."
coco_pairs\images\COCO_train2014_000000476220.jpg,"A small kitchen with sink, stove and refrigerator."
coco_pairs\images\COCO_train2014_000000471895.jpg,"A bathroom featuring an oddly shaped toilette, shower and sink."
coco_pairs\images\COCO_train2014_000000579846.jpg,"A hall opening onto a bathroom, bedroom, and two other rooms."
coco_pairs\images\COCO_train2014_000000189278.jpg,"There are two ovens in a kitchen restaurant, and one of them is being used."
coco_pairs\images\COCO_train2014_000000056972.jpg,"A bathroom with a sink, cabinet, mirror and picture."
coco_pairs\images\COCO_train2014_000000466800.jpg,"Different types of tiles are on the walls, floor and tub."
coco_pairs\images\COCO_train2014_000000170045.jpg,"A woman stands in the kitchen, surrounded by wood cabinets and stainless steel appliances."
coco_pairs\images\COCO_train2014_000000461221.jpg,"A kitchen, with sink, stove, and a white cabinet."
coco_pairs\images\COCO_train2014_000000416909.jpg,"A clean bathroom with sink, toilet and shower."
coco_pairs\images\COCO_train2014_000000416565.jpg,"A small wood paneled bathroom with a sink, mirror and toilette."
coco_pairs\images\COCO_train2014_000000161657.jpg,"The overhead view of a tiled bathroom  with a tub, shower, toilet, bidet, and sink."
coco_pairs\images\COCO_train2014_000000213532.jpg,"Two children sitting down, one with his arm over the other."
coco_pairs\images\COCO_train2014_000000256950.jpg,"The restaurant kitchen is highly lit, displaying the colorful bowls."
coco_pairs\images\COCO_train2014_000000210082.jpg,"A bathroom scene with open double doors, double sinks and a bathtub."
coco_pairs\images\COCO_train2014_000000565906.jpg,"A clean bathroom toilet, shower, and sink with a tiled floor."
coco_pairs\images\COCO_train2014_000000422774.jpg,"A fountain in the middle of town, with places to sit nearby."
